Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CPV,Cabo Verde,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,89.514,82.228,69.968,82.637,79.914,82.552,81.359,83.745,85.339,77.727,64.981,57.422,65.175,72.43,78.814,91.111,102.49,115.924,126.033,127.614,125.839,129.871,130.528,129.221,127.002,124.499,122.255
CPV,Cabo Verde,3092,"Inflation, average consumer prices",Percent change,15.071,20.68,21.127,20.155,9.677,5.882,11.111,3.75,3.614,4.651,11.111,7.587,13.429,5.828,3.344,8.41,6.01,8.574,4.399,4.344,-2.403,3.674,1.918,1.188,-1.891,0.434,4.842,4.394,6.793,0.99,2.079,4.474,2.543,1.512,-0.244,0.127,-1.408,0.784,1.002,1.576,2,2,2,2
CPV,Cabo Verde,3296,Unemployment rate (% of total labor force) (WEO),%,21.5,21.861,22.229,22.603,22.982,23.369,23.762,24.161,24.567,24.98,25.4,25.827,26,26,26,26,25,25,24,22,20,21,20.5,20,19.5,21.4,13.4,15.2,13,13,10.7,12.2,16.8,16.4,12,10,9,9,8.5,8.5,8.5,8.5,8.5,8.5
CRI,Costa Rica,345,Total investment (% of GDP),% of GDP,25.554,28.009,23.826,21.74,21.852,25.069,24.417,26.28,23.663,25.717,26.374,18.654,20.662,21.267,20.995,19.743,17.912,20.265,22.806,21.091,20.736,20.142,19.928,19.005,18.991,19.053,21.219,23.465,24.863,18.43,19.715,19.889,20.48,18.977,18.807,18.433,18.377,18.032,17.756,17.688,17.705,17.499,17.305,17.057
CRI,Costa Rica,346,Gross national savings (% of GDP),% of GDP,12.833,13.006,15.465,13.498,18.421,22.555,23.508,22.049,20.969,19.377,19.472,15.563,15.898,14.065,16.095,16.511,15.546,16.608,19.208,16.21,16.162,16.914,14.723,13.78,15.354,14.751,17.076,17.884,16.497,16.612,16.489,14.587,15.348,14.146,14.014,14.965,16.085,15.128,14.442,14.147,13.859,13.447,13.046,12.533
CRI,Costa Rica,347,"Inflation, average consumer prices",Index,0.72,0.985,1.874,2.483,2.782,3.203,3.58,4.182,5.053,5.887,7.009,9.018,10.985,12.059,13.693,16.867,19.821,22.444,25.063,27.581,30.603,34.048,37.169,40.679,45.69,51.993,57.959,63.383,71.891,77.527,81.918,85.915,89.777,94.474,98.743,99.534,99.518,101.136,103.577,106.274,109.463,112.747,116.129,119.613
CRI,Costa Rica,352,Population (WEO),Value,2302000,2372000,2443000,2514000,2588000,2666000,2746000,2824000,2901000,2977000,3051000,3122000,3191000,3275000,3373000,3470000,3565000,3657000,3747000,3838000,3810000,3953000,4022000,4086000,4152000,4215000,4279000,4340000,4404000,4469000,4554000,4613000,4673000,4733000,4793000,4851000,4909000,4968000,5028000,5089000,5150000,5212000,5275000,5338000
CRI,Costa Rica,354,General government total expenditure,National Currency,,,,,,,,,,,99143000000,123388000000,158336000000,188243000000,286959000000,341144000000,419351000000,476939000000,564050000000,680587000000,780615000000,907863000000,1106645000000,1209582000000,1386023000000,1587971000000,1804388000000,2061752000000,2535587000000,2969514000000,3623081000000,3762442000000,4177715000000,4765276000000,5230812000000,5647127000000,6023751000000,6610239000000,7135704000000,7719923000000,8343476000000,9042355000000,9871532000000,10766419000000
CRI,Costa Rica,355,General government net lending/borrowing,National Currency,,,,,,,,,,,-23133000000,-21238000000,-17436000000,-20743000000,-89959000000,-76619000000,-104851000000,-99439000000,-104346000000,-117359000000,-170477000000,-182300000000,-297843000000,-236308000000,-278338000000,-266586000000,-166035000000,42949000000,-45556000000,-606248000000,-1031792000000,-892968000000,-1059462000000,-1385532000000,-1605621000000,-1653311000000,-1644288000000,-2050174000000,-2490771000000,-2547963000000,-2755853000000,-3032430000000,-3440043000000,-3839321000000
CRI,Costa Rica,356,General government structural balance,National Currency,,,,,,,,,,,,,,,,,-104851000000,-99439000000,-104346000000,-122160000000,-174485000000,-183951000000,-293925000000,-230888000000,-268071000000,-238939000000,-160862000000,-11842000000,-115583000000,-560213000000,-1011688000000,-887572000000,-1088182000000,-1374655000000,-1593116000000,-1641965000000,-1660208000000,-2056464000000,-2490312000000,-2541775000000,-2749622000000,-3027698000000,-3436844000000,-3839223000000
CRI,Costa Rica,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,-5683000000,7335000000,15558000000,12554000000,-36467000000,17809000000,14473000000,25597000000,26793000000,64375000000,24485000000,57157000000,105000000,97480000000,110893000000,193591000000,315644000000,497210000000,369685000000,-212933000000,-579849000000,-395987000000,-529425000000,-704402000000,-830918000000,-866206000000,-758364000000,-996021000000,-1210750000000,-921886000000,-788777000000,-804159000000,-861860000000,-884734000000
CRI,Costa Rica,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,817117000000,896651000000,1432096000000,1587550000000,1797617000000,2082923000000,2471929000000,2793181000000,3339215000000,3571783000000,3831904000000,3740069000000,3880272000000,4575969000000,5550938000000,6368750000000,7997843000000,8909455000000,10456984000000,11969579000000,13987903000000,16044192000000,18580427000000,21161711000000,23845753000000,26927610000000,30428369000000,33887972000000
CRI,Costa Rica,360,Gross domestic product corresponding to fiscal year,National Currency,41442000000,57154000000,97593000000,129430000000,163158000000,198098000000,246801000000,284790000000,350058000000,426294000000,523319000000,877701000000,1147150000000,1355934000000,1638617000000,2068165000000,2413234000000,2919612000000,3502261000000,4055406000000,4607291000000,5233428000000,5938756000000,6855361000000,8114385000000,9532875000000,11555642000000,13816351000000,16109612000000,17521035000000,19596937000000,21370733000000,23371406000000,24860944000000,27226884000000,29281373000000,31136211000000,32799663000000,34619394000000,36766478000000,39276946000000,41972963000000,44925110000000,48118834000000
CRI,Costa Rica,362,Volume of imports (% change),Percent change,-2.734,-26.079,-20.24,13.451,9.307,6.562,17.585,17.582,-0.908,16.913,10.439,-4.394,23.594,14.525,5.132,2.976,2.983,14.014,24.824,0.461,-2.356,0.01,6.128,4.548,4.8,6.974,7.841,10.116,6.871,-18.779,18.711,10.727,7.834,1.681,5.022,4.402,8.885,2.205,1.563,3.99,5.012,5.318,6.147,6.319
CRI,Costa Rica,363,Volume of exports (% change),Percent change,-0.646,3.051,-4.229,3.281,9.413,-6.239,3.628,20.949,7.37,16.074,7.901,10.059,17.774,9.112,4.148,8.998,6.658,8.256,25.561,19.402,3.546,1.83,2.308,5.405,10.459,6.114,7.776,7.625,2.265,-8.259,9.099,7.103,5.504,3.308,4.987,2.566,9.388,5.076,3.381,3.649,3.394,3.491,3.733,3.805
CRI,Costa Rica,2777,General government total expenditure,% of GDP,,,,,,,,,,,18.945,14.058,13.803,13.883,17.512,16.495,17.377,16.336,16.105,16.782,16.943,17.347,18.634,17.644,17.081,16.658,15.615,14.923,15.74,16.948,18.488,17.606,17.875,19.168,19.212,19.286,19.346,20.153,20.612,20.997,21.243,21.543,21.973,22.375
CRI,Costa Rica,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,-4.42,-2.42,-1.52,-1.53,-5.49,-3.705,-4.345,-3.406,-2.979,-2.894,-3.7,-3.483,-5.015,-3.447,-3.43,-2.796,-1.437,0.311,-0.283,-3.46,-5.265,-4.178,-4.533,-5.573,-5.897,-5.646,-5.281,-6.251,-7.195,-6.93,-7.016,-7.225,-7.657,-7.979
CRI,Costa Rica,2781,General government structural balance,% of GDP,,,,,,,,,,,,,,,,,-4.244,-3.364,-3.014,-3.038,-3.812,-3.523,-4.925,-3.349,-3.273,-2.454,-1.388,-0.088,-0.738,-3.135,-5.122,-4.145,-4.699,-5.512,-5.831,-5.592,-5.351,-6.278,-7.193,-6.905,-6.993,-7.208,-7.646,-7.979
CRI,Costa Rica,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,-1.086,0.836,1.356,0.926,-2.225,0.861,0.6,0.877,0.765,1.587,0.531,1.092,0.002,1.422,1.367,2.031,2.732,3.599,2.295,-1.215,-2.959,-1.853,-2.265,-2.833,-3.052,-2.958,-2.436,-3.037,-3.497,-2.507,-2.008,-1.916,-1.918,-1.839
CRI,Costa Rica,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,33.86,30.711,40.891,39.147,39.017,39.8,41.624,40.744,41.152,37.468,33.16,27.07,24.087,26.117,28.326,29.801,34.221,35.837,38.407,40.878,44.925,48.916,53.671,57.557,60.712,64.155,67.731,70.426
CRI,Costa Rica,3092,"Inflation, average consumer prices",Percent change,18.121,36.806,90.271,32.503,12.013,15.129,11.788,16.806,20.845,16.491,19.069,28.665,21.807,9.778,13.544,23.182,17.515,13.235,11.67,10.045,10.959,11.254,9.169,9.443,12.318,13.794,11.476,9.357,13.424,7.839,5.665,4.879,4.495,5.232,4.518,0.802,-0.017,1.626,2.414,2.604,3,3,3,3
CRI,Costa Rica,3296,Unemployment rate (% of total labor force) (WEO),%,5.921,8.766,9.405,9.231,5.361,6.846,6.229,5.577,5.461,3.774,4.642,5.5,4.1,4.1,4.2,5.2,6.2,5.7,5.6,6.022,5.193,6.072,6.403,6.668,6.495,6.63,5.962,4.597,4.948,7.822,9.213,10.492,9.849,8.311,9.658,9.604,9.541,8.1,7.916,7.634,7.634,7.634,7.634,7.634
CYP,Cyprus,345,Total investment (% of GDP),% of GDP,49.257,44.078,42.744,40.706,45.339,41.512,36.289,34.963,36.51,42.291,36.643,34.434,38.195,32.59,33.052,26.52,24.177,23.889,18.899,19.639,20.319,17.664,20.267,19.521,21.963,22.346,24.504,24.245,28.789,22.764,23.713,18.687,15.952,13.113,12.228,13.714,16.723,20.524,16.961,19.634,20.634,21.013,21.069,21.023
CYP,Cyprus,346,Gross national savings (% of GDP),% of GDP,28.651,29.564,27.407,23.935,27.995,26.724,27.087,24.642,24.651,25.439,22.693,17.543,18.184,23.993,24.624,25.978,20.978,20.716,23.073,19.316,16.06,16.235,18.631,18.356,17.505,17.171,18.232,13.648,13.452,15.198,12.558,14.706,10.16,8.246,8.022,12.758,11.904,13.724,13.865,14.432,15.728,16.494,17.084,17.413
CYP,Cyprus,347,"Inflation, average consumer prices",Index,32.163,35.619,37.91,39.825,42.211,44.336,44.876,46.079,47.66,49.455,51.682,54.286,57.816,60.642,63.468,65.126,66.808,69.018,70.631,71.433,74.903,76.393,78.517,81.64,83.188,84.873,86.784,88.668,92.558,92.724,95.096,98.406,101.446,101.833,101.56,99.995,98.778,99.446,100.288,102.112,104.159,106.138,108.261,110.426
CYP,Cyprus,352,Population (WEO),Value,509000,515000,521000,528000,535000,541000,548000,554000,559000,568000,579000,595000,611000,626000,639000,645000,656000,666000,675000,683000,690000,698000,706000,714000,723000,733000,744000,758000,776000,797000,819000,840000,862000,866000,858000,847000,848000,855000,860000,865000,871000,876000,882000,887000
CYP,Cyprus,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,2335000000,2589000000,2865000000,3115000000,3340000000,3705000000,4078000000,4445000000,5188000000,5354000000,5883000000,6260000000,6578000000,7265000000,7823000000,8115000000,8355000000,8167000000,7433000000,7048000000,6951000000,6952000000,7289000000,7515000000,8025000000,8470000000,8883000000,9366000000,9815000000
CYP,Cyprus,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,-55000000,-236000000,-404000000,-349000000,-395000000,-237000000,-241000000,-491000000,-759000000,-514000000,-330000000,-167000000,565000000,165000000,-1015000000,-912000000,-1122000000,-1082000000,-595000000,-41000000,-34000000,77000000,344000000,418000000,334000000,270000000,278000000,288000000,335000000
CYP,Cyprus,356,General government structural balance,National Currency,,,,,,,,,,,,,,,,-55000000,-224000000,-325000000,-285000000,-340000000,-235000000,-218000000,-483000000,-878000000,-626000000,-464000000,-608000000,-542000000,-735000000,-1358000000,-1350000000,-1276000000,-1112000000,-173000000,206000000,609000000,354000000,457000000,406000000,199000000,200000000,194000000,217000000,335000000
CYP,Cyprus,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,18000000,-131000000,-283000000,-167000000,-193000000,8000000,-52000000,-230000000,-419000000,-191000000,65000000,212000000,941000000,590000000,-640000000,-624000000,-807000000,-568000000,72000000,489000000,436000000,533000000,832000000,901000000,896000000,850000000,879000000,930000000,968000000
CYP,Cyprus,358,General government net debt,National Currency,,,,,,,,,,,,,,,,,,,3871000000,4319000000,4562000000,4795000000,5385000000,6033000000,6732000000,7199000000,7288000000,6765000000,7207000000,8296000000,9380000000,10459000000,13165000000,14264000000,15754000000,16197000000,16075000000,15652000000,,,,,,
CYP,Cyprus,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,3590000000,3896000000,4478000000,4982000000,5417000000,5931000000,6568000000,7246000000,8093000000,8963000000,9491000000,9445000000,9307000000,8388000000,9865000000,10770000000,12869000000,15431000000,18519000000,18922000000,19072000000,19418000000,18725000000,22690000000,22450000000,22217000000,22258000000,21429000000,20837000000
CYP,Cyprus,360,Gross domestic product corresponding to fiscal year,National Currency,1395000000,1607000000,1880000000,2086000000,2454000000,2719000000,2935000000,3268000000,3656000000,4140000000,4689000000,4907000000,5693000000,6028000000,6721000000,7678000000,7979000000,8373000000,9060000000,9731000000,10595000000,11417000000,11877000000,12845000000,13856000000,14822000000,16000000000,17512000000,19006000000,18674000000,19299000000,19731000000,19490000000,18141000000,17606000000,17742000000,18219000000,19214000000,20204000000,21359000000,22720000000,23984000000,25302000000,26640000000
CYP,Cyprus,362,Volume of imports (% change),Percent change,4.353,-8.907,1.698,-4.395,4.753,-8.332,-2.115,8.809,19.195,14.134,7.792,1.619,19.158,-25.485,8.727,-17.329,7.872,0.885,1.909,3.308,12.546,-0.193,-0.355,-0.976,6.946,1.57,5.702,10.463,12.508,-14.996,7.963,-3.002,-4.436,-4.777,4.586,7.449,6.761,10.099,-1.019,4.697,4.527,3.66,3.434,3.362
CYP,Cyprus,363,Volume of exports (% change),Percent change,9.317,-1.636,-2.302,-3.337,0.473,-4.628,7.845,10.512,17.036,10.906,7.735,-7.558,18.919,-10.878,7.042,-20.225,3.059,3.517,1.85,8.931,10.456,2.177,-4.093,-1.394,2.49,2.051,1.268,5.28,-0.65,-4.076,4.451,5.63,-2.711,2.078,4.248,5.786,4.029,3.386,5.345,2.354,3.66,3.34,3.34,3.34
CYP,Cyprus,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,30.416,32.445,34.215,34.382,34.321,34.97,35.716,37.421,40.387,38.638,39.689,39.126,37.564,38.225,41.893,42.047,42.346,41.906,40.976,40.034,39.178,38.157,37.938,37.193,37.571,37.28,37.037,37.017,36.845
CYP,Cyprus,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,-0.712,-2.956,-4.821,-3.851,-4.054,-2.24,-2.107,-4.131,-5.907,-3.712,-2.224,-1.041,3.228,0.866,-5.434,-4.724,-5.687,-5.552,-3.279,-0.232,-0.19,0.42,1.788,2.07,1.564,1.19,1.159,1.139,1.256
CYP,Cyprus,2781,General government structural balance,% of GDP,,,,,,,,,,,,,,,,-0.734,-2.797,-3.786,-3.095,-3.447,-1.886,-1.616,-3.43,-5.701,-3.815,-2.662,-3.295,-2.758,-3.524,-6.432,-6.223,-5.748,-4.899,-0.768,0.921,2.733,1.579,1.97,1.692,0.798,0.76,0.698,0.74,1.08
CYP,Cyprus,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,0.237,-1.639,-3.375,-1.841,-1.986,0.078,-0.459,-1.937,-3.263,-1.375,0.441,1.323,5.371,3.102,-3.427,-3.234,-4.092,-2.916,0.397,2.779,2.459,2.928,4.33,4.458,4.195,3.743,3.666,3.676,3.633
CYP,Cyprus,2785,General government net debt,% of GDP,,,,,,,,,,,,,,,,,,,42.73,44.378,43.056,41.997,45.34,46.964,48.581,48.569,45.551,38.632,37.921,44.424,48.603,53.01,67.548,78.628,89.482,91.293,88.229,81.461,,,,,,
CYP,Cyprus,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,46.749,48.828,53.48,54.986,55.664,55.978,57.525,61.009,63.007,64.687,64.03,59.03,53.149,44.134,52.826,55.805,65.224,79.175,102.084,107.476,107.497,106.578,97.454,112.302,105.106,97.786,92.805,84.692,78.216
CYP,Cyprus,3092,"Inflation, average consumer prices",Percent change,13.518,10.745,6.433,5.05,5.992,5.034,1.218,2.679,3.433,3.766,4.503,5.04,6.501,4.889,4.66,2.612,2.582,3.308,2.338,1.136,4.858,1.988,2.781,3.978,1.896,2.026,2.252,2.171,4.386,0.18,2.558,3.481,3.089,0.381,-0.268,-1.541,-1.218,0.677,0.847,1.819,2.005,1.9,2,2
CYP,Cyprus,3296,Unemployment rate (% of total labor force) (WEO),%,,,2.8,3.3,3.3,3.3,3.7,3.4,2.8,2.3,1.8,3,1.825,2.7,2.7,2.6,3.1,3.4,3.4,3.6,4.842,3.925,3.517,4.108,4.625,5.3,4.55,3.925,3.65,5.325,6.275,7.85,11.8,15.85,16.075,14.9,12.95,11.051,9.465,8.029,7.026,6.473,6.195,6.102
CZE,Czech Republic,345,Total investment (% of GDP),% of GDP,,,,,,,,,,,,,,,,33.732,35.596,32.316,30.332,29.162,31.408,31.549,30.126,29.039,29.349,29.125,30.044,32.072,31.062,26.513,27.123,26.958,26.186,24.667,25.88,27.956,25.98,25.828,26.542,26.575,26.664,26.741,26.827,26.91
CZE,Czech Republic,346,Gross national savings (% of GDP),% of GDP,,,,,,,,,,,,,,,,31.442,29.443,26.545,28.445,26.906,27,26.703,25.04,23.324,25.613,27.019,27.578,27.46,29.192,24.244,23.545,24.855,24.626,24.136,26.063,28.201,27.536,26.902,26.184,25.658,25.495,25.293,25.122,24.995
CZE,Czech Republic,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,52.2,56.783,61.683,68.283,69.758,72.383,75.775,77.2,77.292,79.417,80.908,82.95,85.342,90.733,91.667,93.017,94.792,97.9,99.308,99.65,99.983,100.658,103.108,105.515,107.966,110.126,112.328,114.575,116.866
CZE,Czech Republic,352,Population (WEO),Value,,,,,,,,,,,,,,,,10333000,10321000,10309000,10299000,10290000,10278000,10232000,10201000,10193000,10195000,10199000,10224000,10254000,10343000,10426000,10462000,10487000,10505000,10516000,10512000,10538000,10554000,10579000,10593000,10606000,10619000,10632000,10644000,10653000
CZE,Czech Republic,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,839686000000,759581000000,821765000000,903205000000,927524000000,974710000000,1109604000000,1201719000000,1386785000000,1303221000000,1380188000000,1452772000000,1550421000000,1635279000000,1737233000000,1724241000000,1735916000000,1805836000000,1745908000000,1821984000000,1916390000000,1882525000000,1961845000000,2100353000000,2238010000000,2347851000000,2434897000000,2536031000000,2641723000000
CZE,Czech Republic,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,-197238000000,-54773000000,-62372000000,-89754000000,-70233000000,-85052000000,-140871000000,-170453000000,-193482000000,-72925000000,-97665000000,-76281000000,-25096000000,-79665000000,-214211000000,-166017000000,-109896000000,-159552000000,-51129000000,-83063000000,-28961000000,34778000000,80621000000,80567000000,58992000000,46758000000,59717000000,62209000000,64813000000
CZE,Czech Republic,356,General government structural balance,National Currency,,,,,,,,,,,,,,,,-213363000000,-75467000000,-63255000000,-70103000000,-40490000000,-64018000000,-117705000000,-135642000000,-141477000000,-52244000000,-75087000000,-119650000000,-117216000000,-175145000000,-211589000000,-163593000000,-114059000000,-59386000000,7630000000,-30851000000,-21339000000,43576000000,63305000000,61173000000,44522000000,38695000000,58213000000,62325000000,65149000000
CZE,Czech Republic,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,-193316000000,-46584000000,-55493000000,-80403000000,-59101000000,-81887000000,-132541000000,-161870000000,-181942000000,-54733000000,-76479000000,-54551000000,-1287000000,-54037000000,-177807000000,-125406000000,-66896000000,-112426000000,-6225000000,-35738000000,13015000000,72033000000,113073000000,115006000000,93155000000,82678000000,95081000000,97008000000,99036000000
CZE,Czech Republic,358,General government net debt,National Currency,,,,,,,,,,,,,,,,,,,,-25589000000,22700000000,47034000000,213991000000,406386000000,488213000000,463348000000,559475000000,564055000000,575964000000,812732000000,1046356000000,1079403000000,1149877000000,1192985000000,1269022000000,1289370000000,1183063000000,1180271000000,,,,,,
CZE,Czech Republic,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,216645000000,211777000000,240341000000,300976000000,342083000000,405418000000,585615000000,695133000000,795347000000,873760000000,910309000000,973153000000,1054684000000,1136819000000,1319064000000,1480165000000,1606492000000,1805429000000,1840412000000,1819098000000,1836255000000,1754883000000,1749141000000,1738359000000,1753221000000,1780386000000,1717297000000,1652448000000,1594221000000
CZE,Czech Republic,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,,1586447000000,1818342000000,1958725000000,2146389000000,2242417000000,2379393000000,2568309000000,2681644000000,2810382000000,3062444000000,3264931000000,3512798000000,3840117000000,4024117000000,3930409000000,3962464000000,4033755000000,4059912000000,4098128000000,4313789000000,4595783000000,4767990000000,5045188000000,5241465000000,5501550000000,5730434000000,5971670000000,6220876000000,6481301000000
CZE,Czech Republic,362,Volume of imports (% change),Percent change,,,,,,,,,,,,,,,,,11.033,5.838,5.493,4.825,14.505,11.234,4.837,8.613,26.093,12.831,11.479,12.865,3.218,-11.021,14.708,6.701,2.661,0.065,10.054,6.782,2.794,5.968,5.65,4.85,4.7,4.7,4.7,4.65
CZE,Czech Republic,363,Volume of exports (% change),Percent change,,,,,,,,,,,,,,,,,2.085,7.611,9.66,5.212,14.804,9.443,0.92,8.827,29.722,18.207,14.291,11.028,4.226,-9.826,14.664,9.166,4.279,0.187,8.65,6.017,4.34,6.739,3.82,4,4,4,4,4
CZE,Czech Republic,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,52.929,41.773,41.954,42.08,41.363,40.965,43.204,44.813,49.345,42.555,42.273,41.357,40.374,40.637,44.2,43.514,43.035,44.48,42.603,42.236,41.699,39.483,38.885,40.072,40.68,40.972,40.774,40.766,40.759
CZE,Czech Republic,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,-12.433,-3.012,-3.184,-4.182,-3.132,-3.575,-5.485,-6.356,-6.885,-2.381,-2.991,-2.172,-0.654,-1.98,-5.45,-4.19,-2.724,-3.93,-1.248,-1.926,-0.63,0.729,1.598,1.537,1.072,0.816,1,1,1
CZE,Czech Republic,2781,General government structural balance,% of GDP,,,,,,,,,,,,,,,,-13.922,-4.326,-3.234,-3.169,-1.732,-2.613,-4.451,-4.86,-4.875,-1.686,-2.356,-3.638,-3.349,-4.756,-5.363,-4.116,-2.846,-1.432,0.178,-0.695,-0.464,0.911,1.268,1.177,0.816,0.679,0.976,1.002,1.005
CZE,Czech Republic,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,-12.185,-2.562,-2.833,-3.746,-2.636,-3.442,-5.161,-6.036,-6.474,-1.787,-2.342,-1.553,-0.034,-1.343,-4.524,-3.165,-1.658,-2.769,-0.152,-0.828,0.283,1.511,2.241,2.194,1.693,1.443,1.592,1.559,1.528
CZE,Czech Republic,2785,General government net debt,% of GDP,,,,,,,,,,,,,,,,,,,,-1.141,0.954,1.831,7.98,14.46,15.942,14.192,15.927,14.688,14.313,20.678,26.407,26.759,28.323,29.11,29.418,28.056,24.813,23.394,,,,,,
CZE,Czech Republic,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,13.656,11.647,12.27,14.022,15.255,17.039,22.802,25.922,28.3,28.531,27.881,27.703,27.465,28.25,33.56,37.355,39.826,44.47,44.909,42.169,39.955,36.806,34.669,33.166,31.868,31.069,28.757,26.563,24.597
CZE,Czech Republic,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,8.78,8.629,10.7,2.16,3.763,4.686,1.881,0.119,2.749,1.878,2.523,2.883,6.318,1.029,1.473,1.908,3.279,1.439,0.344,0.335,0.675,2.434,2.334,2.323,2,2,2,2
CZE,Czech Republic,3296,Unemployment rate (% of total labor force) (WEO),%,,,,,,,,,,,,,,,,4,3.9,4.775,6.491,8.72,8.757,8.113,7.27,7.77,8.344,7.932,7.128,5.306,4.381,6.706,7.284,6.716,6.959,6.942,6.097,5.04,3.946,2.89,2.5,3,3.2,3.5,3.5,3.5
DEU,Germany,345,Total investment (% of GDP),% of GDP,30.029,27.259,25.415,26.446,26.188,25.107,25.136,24.667,25.517,26.474,27.369,25.588,24.958,23.612,23.833,23.741,22.735,22.783,23.34,23.474,23.923,22.314,19.919,19.687,19.121,18.815,19.773,20.749,20.86,18.067,19.625,21.078,19.307,19.512,19.635,19.235,19.66,20.092,20.353,20.796,21.122,21.342,21.495,21.593
DEU,Germany,346,Gross national savings (% of GDP),% of GDP,21.622,20.231,20.216,21.169,21.849,22.217,23.769,22.971,24.13,25.444,24.433,24.161,23.77,22.574,22.334,22.498,22.061,22.275,22.631,22.059,22.174,21.951,21.805,21.099,23.578,23.41,25.454,27.499,26.455,23.808,25.241,27.184,26.325,26.238,27.087,28.136,28.168,27.956,28.466,28.656,28.827,28.863,28.901,28.868
DEU,Germany,347,"Inflation, average consumer prices",Index,49.014,52.113,54.852,56.654,58.011,59.22,59.146,59.289,60.044,61.713,63.371,65.572,68.881,71.964,73.919,75.2,76.158,77.325,77.792,78.292,79.358,80.875,81.967,82.808,84.292,85.933,87.483,89.458,91.917,92.125,93.192,95.508,97.525,99.092,99.85,99.992,100.383,102.092,103.937,105.784,107.986,110.462,113.178,116.073
DEU,Germany,352,Population (WEO),Value,76843000,76988000,76933000,76664000,76355000,76166000,76219000,76233000,76697000,77463000,78949000,79973000,80500000,80947000,81148000,81308000,81467000,81510000,81446000,81423000,81457000,81518000,81579000,81549000,81457000,81337000,81174000,80993000,80764000,80483000,80285000,80276000,80427000,80647000,80983000,81687000,82349000,82660000,82786000,82852000,82860000,82809000,82748000,82676000
DEU,Germany,354,General government total expenditure,National Currency,,,,,,,,,,,,732310000000,799686000000,838466000000,877028000000,1037926000000,942785000000,945330000000,962423000000,984831000000,947098000000,1022525000000,1044200000000,1061545000000,1051570000000,1062999000000,1069695000000,1076099000000,1116223000000,1170508000000,1219219000000,1208565000000,1221782000000,1263000000000,1291848000000,1332634000000,1386760000000,1439839000000,1480038000000,1533804000000,1593585000000,1656246000000,1718391000000,1782779000000
DEU,Germany,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,-50029000000,-43980000000,-53914000000,-45862000000,-179001000000,-68237000000,-57933000000,-51098000000,-35066000000,18179000000,-67828000000,-87139000000,-92702000000,-84939000000,-78619000000,-41200000000,4706000000,-4531000000,-79590000000,-108904000000,-25863000000,-929000000,-3967000000,16693000000,23856000000,28746000000,34008000000,50719000000,51370000000,48268000000,35289000000,32188000000,32787000000
DEU,Germany,356,General government structural balance,National Currency,,,,,,,,,,,,-78965000000,-64386000000,-46257000000,-41649000000,-56115000000,-55823000000,-47762000000,-42556000000,-29350000000,-45256000000,-72787000000,-78725000000,-68486000000,-64878000000,-52236000000,-44626000000,-23368000000,-23120000000,-28449000000,-62561000000,-35956000000,-4042000000,4373000000,26262000000,23199000000,29913000000,28942000000,34645000000,24341000000,23145000000,11223000000,12662000000,16755000000
DEU,Germany,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,-15918000000,14000000,-7403000000,5648000000,-121045000000,-9983000000,672000000,9416000000,21452000000,76273000000,-10948000000,-29323000000,-34205000000,-27447000000,-21984000000,16244000000,65071000000,55666000000,-20815000000,-53238000000,29110000000,49509000000,40924000000,52835000000,56151000000,57677000000,60249000000,73521000000,72854000000,67730000000,54586000000,51782000000,52790000000
